"catID","living","order","orderFactor","looking"
"C1","Cafe",1,"1.first",32
"C1","Cafe",2,"2.second",13
"C1","Cafe",3,"3.third",26
"C1","Cafe",4,"4.fourth",63
"C2","Cafe",1,"1.first",230
"C2","Cafe",2,"2.second",143
"C2","Cafe",3,"3.third",53
"C2","Cafe",4,"4.fourth",3
"C3","Cafe",1,"1.first",136
"C3","Cafe",2,"2.second",100
"C3","Cafe",3,"3.third",159
"C3","Cafe",4,"4.fourth",69
"C4","Cafe",1,"1.first",142
"C4","Cafe",2,"2.second",103
"C4","Cafe",3,"3.third",49
"C4","Cafe",4,"4.fourth",41
"C5","Cafe",1,"1.first",168
"C5","Cafe",2,"2.second",20
"C5","Cafe",3,"3.third",102
"C5","Cafe",4,"4.fourth",130
"C6","Cafe",1,"1.first",223
"C6","Cafe",2,"2.second",196
"C6","Cafe",3,"3.third",186
"C6","Cafe",4,"4.fourth",78
"C7","Cafe",1,"1.first",0
"C7","Cafe",2,"2.second",70
"C7","Cafe",3,"3.third",0
"C7","Cafe",4,"4.fourth",114
"C7","Cafe",5,"5.fifth",0
"C7","Cafe",6,"6.sixth",79
"C8","Cafe",1,"1.first",0
"C8","Cafe",2,"2.second",172
"C8","Cafe",3,"3.third",0
"C8","Cafe",4,"4.fourth",0
"C9","Cafe",1,"1.first",265
"C9","Cafe",2,"2.second",269
"C9","Cafe",3,"3.third",221
"C9","Cafe",4,"4.fourth",20
"C9","Cafe",5,"5.fifth",228
"C9","Cafe",6,"6.sixth",178
"C9","Cafe",7,"7.seventh",224
"C9","Cafe",8,"8.eighth",271
"C10","Cafe",1,"1.first",0
"C10","Cafe",2,"2.second",27
"C10","Cafe",3,"3.third",178
"C10","Cafe",4,"4.fourth",270
"C10","Cafe",5,"5.fifth",90
"C10","Cafe",6,"6.sixth",0
"C11","Cafe",1,"1.first",185
"C11","Cafe",2,"2.second",111
"C11","Cafe",3,"3.third",192
"C11","Cafe",4,"4.fourth",130
"C11","Cafe",5,"5.fifth",217
"C11","Cafe",6,"6.sixth",44
"C12","Cafe",1,"1.first",0
"C12","Cafe",2,"2.second",137
"C12","Cafe",3,"3.third",222
"C12","Cafe",4,"4.fourth",87
"C13","Cafe",1,"1.first",116
"C13","Cafe",2,"2.second",118
"C13","Cafe",3,"3.third",95
"C13","Cafe",4,"4.fourth",28
"C13","Cafe",5,"5.fifth",15
"C13","Cafe",6,"6.sixth",44
"C14","Cafe",1,"1.first",134
"C14","Cafe",2,"2.second",171
"C14","Cafe",3,"3.third",138
"C14","Cafe",4,"4.fourth",269
"C14","Cafe",5,"5.fifth",151
"C14","Cafe",6,"6.sixth",49
"C15","Cafe",1,"1.first",190
"C15","Cafe",2,"2.second",165
"C15","Cafe",3,"3.third",136
"C15","Cafe",4,"4.fourth",63
"C15","Cafe",5,"5.fifth",0
"C15","Cafe",6,"6.sixth",57
"C16","Cafe",1,"1.first",102
"C16","Cafe",2,"2.second",0
"C16","Cafe",3,"3.third",229
"C16","Cafe",4,"4.fourth",22
"C17","Cafe",1,"1.first",177
"C17","Cafe",2,"2.second",204
"C17","Cafe",3,"3.third",0
"C17","Cafe",4,"4.fourth",80
"C18","Cafe",1,"1.first",128
"C18","Cafe",2,"2.second",39
"C18","Cafe",3,"3.third",21
"C18","Cafe",4,"4.fourth",42
"C19","Cafe",1,"1.first",270
"C19","Cafe",2,"2.second",260
"C19","Cafe",3,"3.third",14
"C19","Cafe",4,"4.fourth",13
"C20","Cafe",1,"1.first",270
"C20","Cafe",2,"2.second",271
"C20","Cafe",3,"3.third",164
"C20","Cafe",4,"4.fourth",217
"C20","Cafe",5,"5.fifth",11
"C20","Cafe",6,"6.sixth",175
"C21","Cafe",1,"1.first",145
"C21","Cafe",2,"2.second",87
"C21","Cafe",3,"3.third",13
"C21","Cafe",4,"4.fourth",49
"C22","House",1,"1.first",47
"C22","House",2,"2.second",97
"C22","House",3,"3.third",54
"C22","House",4,"4.fourth",22
"C23","House",1,"1.first",267
"C23","House",2,"2.second",240
"C23","House",3,"3.third",83
"C23","House",4,"4.fourth",123
"C24","House",1,"1.first",18
"C24","House",2,"2.second",139
"C24","House",3,"3.third",0
"C24","House",4,"4.fourth",52
"C25","House",1,"1.first",71
"C25","House",2,"2.second",0
"C25","House",3,"3.third",101
"C25","House",4,"4.fourth",0
"C26","House",1,"1.first",185
"C26","House",2,"2.second",270
"C26","House",3,"3.third",270
"C26","House",4,"4.fourth",270
"C26","House",5,"5.fifth",270
"C26","House",6,"6.sixth",270
"C26","House",7,"7.seventh",227
"C26","House",8,"8.eighth",265
"C27","House",1,"1.first",35
"C27","House",2,"2.second",0
"C27","House",3,"3.third",73
"C27","House",4,"4.fourth",0
"C28","House",1,"1.first",111
"C28","House",2,"2.second",101
"C28","House",3,"3.third",0
"C28","House",4,"4.fourth",26
"C29","Cafe",1,"1.first",12
"C29","Cafe",2,"2.second",80
"C29","Cafe",3,"3.third",54
"C29","Cafe",4,"4.fourth",56
"C30","Cafe",1,"1.first",10
"C30","Cafe",2,"2.second",177
"C30","Cafe",3,"3.third",47
"C30","Cafe",4,"4.fourth",128
"C31","Cafe",1,"1.first",267
"C31","Cafe",2,"2.second",264
"C31","Cafe",3,"3.third",262
"C31","Cafe",4,"4.fourth",267
"C31","Cafe",5,"5.fifth",115
"C31","Cafe",6,"6.sixth",91
"C32","House",1,"1.first",163
"C32","House",2,"2.second",178
"C32","House",3,"3.third",237
"C32","House",4,"4.fourth",21
"C33","House",1,"1.first",152
"C33","House",2,"2.second",162
"C33","House",3,"3.third",142
"C33","House",4,"4.fourth",98
"C34","House",1,"1.first",105
"C34","House",2,"2.second",16
"C34","House",3,"3.third",20
"C34","House",4,"4.fourth",172
"C34","House",5,"5.fifth",22
"C34","House",6,"6.sixth",24
