"PARTICIPANT","GENDER","PAIR.INDEX","STIMULUS","FREQUENCY","COCAMD","ERRTYPE","CORRECT","NUM.WORDS","INTERRUPTED"
"s1","Male",2,"all of a sudden","HI",55.29,"P",FALSE,"4",TRUE
"s1","Male",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s1","Male",3,"as a result of","HI",56.25,"C",TRUE,"4",FALSE
"s1","Male",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s1","Male",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s1","Male",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s1","Male",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s1","Male",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s1","Male",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s1","Male",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s1","Male",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s1","Male",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s1","Male",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s1","Male",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s1","Male",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s1","Male",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s1","Male",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s1","Male",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s1","Male",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s1","Male",12,"through to","LO",9.65,"P",FALSE,"2",TRUE
"s1","Male",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s1","Male",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s10","Female",2,"all of a boy","LO",3.15,"C",TRUE,"4",FALSE
"s10","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s10","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s10","Female",4,"for the child of","LO",12.05,"P",FALSE,"4",TRUE
"s10","Female",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s10","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s10","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s10","Female",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s10","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s10","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s10","Female",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s10","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s10","Female",9,"in things of","LO",3.48,"P",FALSE,"3",TRUE
"s10","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s10","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s10","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s10","Female",12,"through to","LO",9.65,"C",TRUE,"2",FALSE
"s10","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s11","Male",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s11","Male",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s11","Male",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s11","Male",3,"as a result of","HI",56.25,"R",FALSE,"4",FALSE
"s11","Male",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s11","Male",4,"for the child of","LO",12.05,"P",FALSE,"4",TRUE
"s11","Male",5,"in the middle of","HI",55.79,"R",FALSE,"4",FALSE
"s11","Male",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s11","Male",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s11","Male",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s11","Male",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s11","Male",8,"in fear of","LO",21.06,"RECAST",FALSE,"3",FALSE
"s11","Male",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s11","Male",9,"in things of","LO",3.48,"P",FALSE,"3",TRUE
"s11","Male",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s11","Male",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s11","Male",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s11","Male",12,"back to","HI",19.76,"P",FALSE,"2",TRUE
"s11","Male",12,"through to","LO",9.65,"P",FALSE,"2",TRUE
"s11","Male",13,"out of","HI",21.35,"P",FALSE,"2",TRUE
"s11","Male",13,"out to","LO",16.6,"P",FALSE,"2",TRUE
"s12","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s12","Female",2,"all of a sudden","HI",55.29,"R",FALSE,"4",FALSE
"s12","Female",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s12","Female",4,"for the child of","LO",12.05,"C",TRUE,"4",FALSE
"s12","Female",4,"for the sake of","HI",50.25,"P",FALSE,"4",TRUE
"s12","Female",5,"in the middle of","HI",55.79,"C",TRUE,"4",FALSE
"s12","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s12","Female",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s12","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s12","Female",8,"in fear of","LO",21.06,"P",FALSE,"3",TRUE
"s12","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s12","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s12","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s12","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s12","Female",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s12","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s12","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s12","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s12","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s12","Female",13,"out to","LO",16.6,"R",FALSE,"2",FALSE
"s14","Female",2,"all of a sudden","HI",55.29,"OMIT",FALSE,"4",FALSE
"s14","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s14","Female",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s14","Female",3,"as a result of","HI",56.25,"R",FALSE,"4",FALSE
"s14","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s14","Female",5,"in the middle of","HI",55.79,"C",TRUE,"4",FALSE
"s14","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s14","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s14","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s14","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s14","Female",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s14","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s14","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s14","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s14","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s14","Female",10,"on half of","LO",14.13,"C",TRUE,"3",FALSE
"s14","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s14","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s14","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s14","Female",12,"through to","LO",9.65,"C",TRUE,"2",FALSE
"s14","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s14","Female",13,"out to","LO",16.6,"P",FALSE,"2",TRUE
"s15","Female",2,"all of a boy","LO",3.15,"C",TRUE,"4",FALSE
"s15","Female",2,"all of a sudden","HI",55.29,"OMIT",FALSE,"4",FALSE
"s15","Female",3,"as a result of","HI",56.25,"C",TRUE,"4",FALSE
"s15","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s15","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s15","Female",5,"in the middle of","HI",55.79,"C",TRUE,"4",FALSE
"s15","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s15","Female",6,"on the part of","HI",49.15,"C",TRUE,"4",FALSE
"s15","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s15","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s15","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s15","Female",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s15","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s15","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s15","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s15","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s15","Female",10,"on half of","LO",14.13,"C",TRUE,"3",FALSE
"s15","Female",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s15","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s15","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s15","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s15","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s15","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s16","Female",2,"all of a sudden","HI",55.29,"P",FALSE,"4",TRUE
"s16","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s16","Female",3,"as a result of","HI",56.25,"C",TRUE,"4",FALSE
"s16","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s16","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s16","Female",4,"for the child of","LO",12.05,"C",TRUE,"4",FALSE
"s16","Female",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s16","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s16","Female",6,"on the part of","HI",49.15,"C",TRUE,"4",FALSE
"s16","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s16","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s16","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s16","Female",8,"in fear of","LO",21.06,"P",FALSE,"3",TRUE
"s16","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s16","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s16","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s16","Female",10,"on half of","LO",14.13,"C",TRUE,"3",FALSE
"s16","Female",10,"on top of","HI",36.6,"P",FALSE,"3",TRUE
"s16","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s16","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s16","Female",12,"back to","HI",19.76,"P",FALSE,"2",TRUE
"s16","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s16","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s16","Female",13,"out of","HI",21.35,"R",FALSE,"2",FALSE
"s17","Female",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s17","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s17","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s17","Female",3,"as a result of","HI",56.25,"R",FALSE,"4",FALSE
"s17","Female",4,"for the child of","LO",12.05,"C",TRUE,"4",FALSE
"s17","Female",4,"for the sake of","HI",50.25,"R",FALSE,"4",FALSE
"s17","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s17","Female",5,"in the middle of","HI",55.79,"R",FALSE,"4",FALSE
"s17","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s17","Female",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s17","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s17","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s17","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s17","Female",9,"in terms of","HI",40.39,"P",FALSE,"3",TRUE
"s17","Female",9,"in things of","LO",3.48,"P",FALSE,"3",TRUE
"s17","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s17","Female",10,"on half of","LO",14.13,"C",TRUE,"3",FALSE
"s17","Female",11,"looking to","LO",13.1,"P",FALSE,"2",TRUE
"s17","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s17","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s17","Female",12,"through to","LO",9.65,"P",FALSE,"2",TRUE
"s17","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s17","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s18","Female",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s18","Female",2,"all of a boy","LO",3.15,"C",TRUE,"4",FALSE
"s18","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s18","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s18","Female",4,"for the child of","LO",12.05,"R",FALSE,"4",FALSE
"s18","Female",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s18","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s18","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s18","Female",8,"in fear of","LO",21.06,"P",FALSE,"3",TRUE
"s18","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s18","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s18","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s18","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s18","Female",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s18","Female",11,"looking to","LO",13.1,"P",FALSE,"2",TRUE
"s18","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s18","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s18","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s18","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s18","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s2","Female",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s2","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s2","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s2","Female",3,"as a result of","HI",56.25,"R",FALSE,"4",FALSE
"s2","Female",4,"for the sake of","HI",50.25,"P",FALSE,"4",TRUE
"s2","Female",4,"for the child of","LO",12.05,"P",FALSE,"4",TRUE
"s2","Female",5,"in the middle of","HI",55.79,"C",TRUE,"4",FALSE
"s2","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s2","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s2","Female",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s2","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s2","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s2","Female",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s2","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s2","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s2","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s2","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s2","Female",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s2","Female",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s2","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s2","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s2","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s2","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s2","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s20","Male",2,"all of a sudden","HI",55.29,"OMIT",FALSE,"4",FALSE
"s20","Male",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s20","Male",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s20","Male",3,"as a result of","HI",56.25,"RECAST",FALSE,"4",FALSE
"s20","Male",4,"for the sake of","HI",50.25,"R",FALSE,"4",FALSE
"s20","Male",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s20","Male",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s20","Male",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s20","Male",6,"on the life of","LO",30.22,"R",FALSE,"4",FALSE
"s20","Male",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s20","Male",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s20","Male",8,"in spite of","HI",36.52,"C",TRUE,"3",FALSE
"s20","Male",8,"in fear of","LO",21.06,"P",FALSE,"3",TRUE
"s20","Male",9,"in terms of","HI",40.39,"P",FALSE,"3",TRUE
"s20","Male",9,"in things of","LO",3.48,"P",FALSE,"3",TRUE
"s20","Male",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s20","Male",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s20","Male",11,"according to","HI",21.86,"P",FALSE,"2",TRUE
"s20","Male",11,"looking to","LO",13.1,"P",FALSE,"2",TRUE
"s20","Male",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s20","Male",12,"through to","LO",9.65,"P",FALSE,"2",TRUE
"s20","Male",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s20","Male",13,"out to","LO",16.6,"P",FALSE,"2",TRUE
"s21","Female",2,"all of a boy","LO",3.15,"C",TRUE,"4",FALSE
"s21","Female",2,"all of a sudden","HI",55.29,"P",FALSE,"4",TRUE
"s21","Female",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s21","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s21","Female",6,"on the part of","HI",49.15,"C",TRUE,"4",FALSE
"s21","Female",6,"on the life of","LO",30.22,"R",FALSE,"4",FALSE
"s21","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s21","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s21","Female",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s21","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s21","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s21","Female",9,"in things of","LO",3.48,"P",FALSE,"3",TRUE
"s21","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s21","Female",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s21","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s21","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s21","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s21","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s21","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s22","Female",2,"all of a sudden","HI",55.29,"P",FALSE,"4",TRUE
"s22","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s22","Female",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s22","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s22","Female",4,"for the child of","LO",12.05,"P",FALSE,"4",TRUE
"s22","Female",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s22","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s22","Female",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s22","Female",6,"on the life of","LO",30.22,"R",FALSE,"4",FALSE
"s22","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s22","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s22","Female",8,"in fear of","LO",21.06,"P",FALSE,"3",TRUE
